zgbh,icid
1354691   ,0761127098
1355959   ,2061650848
1357386   ,2066658064
1357403   ,2069657728
1357452   ,2624040864
1357520   ,2054438624
1358216   ,0873213915
1358951   ,0874300619
1360962   ,1125695550
1360978   ,4138533278
1361068   ,0872692523
1361797   ,2064906032
1361799   ,2061888816
1361864   ,0968852171
1361883   ,1765571739
1361913   ,0165906640
1361946   ,2051281776
1361948   ,0312394234
1361963   ,1766844187
1362046   ,0873787755
1362358   ,2062778528
1362454   ,2674826731
1362537   ,3252044547
1363268   ,2625877808
1363362   ,1126464142
1363392   ,3537301934
1363558   ,2069719408
1363684   ,2062653840
1363855   ,2048602592
1363857   ,0875060219
1364068   ,2674413643
1364223   ,2066248064
1364255   ,1789462427
1364265   ,3248102195
1364342   ,0159657488
1364359   ,2674758891
1364415   ,2618647456
1364581   ,2626950080
1364656   ,0868485595
1364658   ,2063646560
1364707   ,3528806942
1364788   ,0868026571
1364854   ,1778617563
1364856   ,2069182352
1364873   ,1578926656
1364922   ,1604808074
1364980   ,2062304096
1364982   ,1779907211
1365105   ,0876575035
1365124   ,2061716464
1365324   ,0760559434
1365441   ,0873773531
1302457   ,4137600062
1304883   ,4137577166
1305532   ,4135907086
1305920   ,2469114672
1305939   ,2672070747
1306232   ,2673861659
1307107   ,1778948539
1307136   ,1781058187
1307526   ,1771127963
1308635   ,4129605086
1309591   ,4129443374
40248     ,2770594540
812445    ,0030031476
879721    ,2048440336
881200    ,2504877728
881336    ,3741565377
1293596   ,2946375538
1293997   ,2061960960
1295848   ,2673870491
1300260   ,2673388347
1365715   ,2064664400
1365765   ,2625779072
1365937   ,4129381534
1366019   ,2673230459
1366055   ,2065488528
1366097   ,1765942987
1366182   ,2066002288
1366282   ,1789236363
1366293   ,1111266670
1366300   ,2069730080
1366321   ,2672156923
1366353   ,2067070368
1366773   ,3530716302
1366905   ,1712453079
1366976   ,1584325344
1366987   ,0872795163
1367012   ,2068021552
1367017   ,2051564048
1367265   ,1788379051
1367269   ,1788709019
1367283   ,0868545355
1367639   ,1790302155
1367715   ,2582188295
1367740   ,1787046779
1367773   ,2673833371
1367828   ,2058975840
1367835   ,2676437739
1367842   ,2061761216
1367863   ,2048270240
1367987   ,1788189611
1368001   ,2676363675
1368019   ,0755577978
1368035   ,0969465371
1368067   ,1784321867
1368163   ,2624782240
1368248   ,1787932875
1368273   ,2058811216
1368316   ,0967010155
1368406   ,2066569632
1368420   ,3149468050
1368494   ,3536172782
1368529   ,1771149115
1368560   ,1577478032
1368601   ,2625125152
1368612   ,2066366288
1368844   ,1789659691
1368873   ,2672535099
1368880   ,0257350602
1368898   ,2624113168
1368910   ,2626627280
1369022   ,2985196049
1369073   ,1578639792
1369235   ,3707846538
1371204   ,2054411152
1284911   ,3541162590
1289271   ,3740481537
1357391   ,2062771248
1357814   ,2061152896
1360923   ,1715457911
1360959   ,4288495534
1361428   ,2627276304
1361861   ,4140820606
1361868   ,3529533966
1361879   ,2051310688
1361886   ,2669983531
1361911   ,0873528699
1361918   ,2048511008
1361935   ,1784079051
1362060   ,1790390539
1362085   ,0873018987
1362253   ,3531361118
1362341   ,0973823483
1362352   ,0758251914
1362636   ,2582069591
1363289   ,0310955018
1363296   ,0866735323
1363375   ,2064266208
1363381   ,1578707008
1363386   ,2065807712
1363397   ,4130945006
1363714   ,2976150097
1363757   ,1110777694
1363816   ,2676379723
1364034   ,2067092752
1364066   ,0872853227
1364073   ,2062681552
1364112   ,1778858731
1364251   ,0874072619
1364269   ,2047631328
1364384   ,1782135867
1364409   ,2676024987
1364520   ,0973673307
1300882   ,4128899726
1365960   ,2579856135
1366369   ,1782771291
1366417   ,2674986667
1366419   ,1766828523
1366435   ,2064645968
1366501   ,2060234928
1366567   ,0867872507
1366584   ,0312542938
1366733   ,2054712848
1366884   ,2069407600
1366980   ,2627105152
1367064   ,4289282702
1367143   ,0868451547
1367158   ,1788214011
1367207   ,2051218368
1367546   ,2673147899
1367700   ,0151335536
1367702   ,0873030747
1367974   ,2674037051
1368088   ,2052933920
1368103   ,2068817088
1368287   ,2754784746
1368869   ,1768207099
1369006   ,2048891408
1369207   ,2676636251
1369209   ,1766668555
1369289   ,2669550747
1369528   ,1780976011
1282234   ,4130255598
1285134   ,0752496778
1285253   ,2772488923
1285434   ,4028491745
1286042   ,3208764722
1286072   ,1126232510
1286160   ,0311835274
1287067   ,3535220046
1288447   ,3248100707
1355974   ,2626746880
1357435   ,2062470192
1358609   ,1767427627
1358622   ,0313247578
1359046   ,2058615696
1359097   ,1768653547
1361328   ,2061737040
1361658   ,0969415435
1361831   ,2066197008
1361929   ,2627076864
1361965   ,2626226208
1362029   ,2062420576
1362163   ,1785893163
1362165   ,2069272128
1362182   ,3531329550
1362197   ,2061942512
1362280   ,3522423134
1362420   ,3535836062
1362456   ,2066041344
1362552   ,4136065870
1362586   ,1578699904
1362708   ,1112163118
1363053   ,3731903790
1363187   ,1768253387
1363330   ,2051572576
1363363   ,3204897762
1363390   ,2676452459
1363471   ,4136833646
1363475   ,0870069243
1363505   ,1764040267
1363507   ,2066666256
1363605   ,2052010768
1363658   ,1783347291
1364605   ,2676498731
1364622   ,2472509024
1365059   ,1767559787
1365175   ,0310912874
1301595   ,1790212843
1301644   ,1782523691
1301907   ,1789041851
1301941   ,2669773083
1302186   ,0761576890
1302281   ,3532316270
1302315   ,1057331623
1302687   ,4138059790
1303505   ,4140569390
1303546   ,4138437646
1305922   ,3530806734
1307378   ,1269770073
1308669   ,1798475625
875579    ,2465814880
881394    ,1575156516
881401    ,1692311885
881480    ,3742005793
881574    ,0341916817
881822    ,0165318384
881898    ,3248122003
885656    ,1269731993
1332216   ,2066093536
1334132   ,2674924987
1334379   ,2674826683
1341688   ,1767125339
1341783   ,2049417072
1341915   ,1788176779
56286     ,1482744450
795193    ,2056994192
F1027     ,2756921820
1343081   ,2675719131
1348149   ,3739090116
1349702   ,2054715040
1352807   ,2049858240
1353236   ,2069729120
66665     ,0948363610
838225    ,2976035089
840483    ,0311603642
01549     ,3038862554
1281648   ,3247498515
759684    ,0867828779
761131    ,2016412667
818812    ,2051592672
897619    ,3739223857
898214    ,2466206416
899160    ,3248289523
905995    ,4138489070
1291944   ,1763047963
1300525   ,2673718923
1300964   ,2067178160
1365928   ,3536612222
1366265   ,2048611120
1366329   ,0869253915
1366382   ,0873692331
1366412   ,3209338002
1366414   ,2621941200
1366436   ,2067045104
1366504   ,1565902704
1366515   ,2984533489
1366579   ,0968612715
1366679   ,2062721040
1366804   ,2066026032
1366915   ,2059258128
1366945   ,2838540146
