zgbh,icid
1970726   ,1788997611
1970737   ,0258812330
1970787   ,0973437291
1970965   ,0166206816
1971100   ,2066623648
1971250   ,2106358048
1971410   ,0768064503
1971457   ,2070106640
1971471   ,2624134352
1971577   ,2658325668
1972079   ,2626149728
1972485   ,0769862231
1972498   ,2472509024
1982815   ,0066522487
1982919   ,2674152411
1982937   ,2097634896
1982944   ,2105879056
1982955   ,2055776848
1982962   ,3334620481
1983085   ,3534781294
1983118   ,0760873226
1983174   ,0777971173
1983186   ,2059788880
1983237   ,3252219603
1983244   ,2626356944
1983255   ,0751349178
1983262   ,2051599168
1983267   ,2976211937
1983296   ,1785652747
1983332   ,2065995104
1983357   ,3504348986
1983364   ,1766844587
1983371   ,1346554602
1983382   ,0259988250
1983389   ,0868861275
1983396   ,0065848375
1983432   ,2774822411
1983439   ,2049446592
1983464   ,0874361259
1983471   ,2579830583
1983520   ,0779598919
1983662   ,1578963600
1983673   ,2626630000
1983680   ,0972017323
1983687   ,2626833888
1983705   ,4129687614
1983712   ,2060234720
1983723   ,0768833335
1983730   ,0752904426
1983841   ,0974173195
1984007   ,2672159035
1984029   ,2053498576
1984103   ,0778738247
2000804   ,2067311984
2000838   ,4129172334
2000840   ,2053832864
1302240   ,4136336462
1302835   ,4134999230
1305654   ,0066510359
1305778   ,2673609739
1307109   ,2672164891
1307241   ,0484651242
1310229   ,2755424506
1958189   ,0779585287
1959048   ,0769655335
1959410   ,2421810538
1959548   ,0778557095
1959698   ,0778293623
1960013   ,0874559387
1962961   ,2070739200
1963545   ,3537040750
1964216   ,2675746555
1964280   ,2618481152
1964579   ,1110881998
1964616   ,0874448523
1965102   ,2063965312
1966304   ,0481138907
1967044   ,1766774987
1967327   ,2054220768
1968003   ,2056364144
1968016   ,2627105152
1968063   ,1808689210
1968238   ,2054721488
1968336   ,0968336635
1968617   ,2663480299
1969375   ,1767398203
1969402   ,2066621632
1969409   ,2062744432
1969527   ,2582120967
1969658   ,2672057483
1969669   ,0065193479
1969676   ,2620219856
1969683   ,4130226430
1969740   ,2674831803
1969872   ,2673322091
1970151   ,0969399115
1970331   ,1058402983
1970338   ,1115036846
1970422   ,2622805488
1970454   ,0280049060
