zgbh,icid
881459    ,3740460161
890340    ,0342484369
891244    ,3742006801
1285447   ,0065195959
1287158   ,0743551831
1361133   ,2061583952
1362062   ,2472618592
1362144   ,2623248464
1362952   ,3334569905
1364262   ,0769104839
1364975   ,1768448171
769387    ,3795354805
DH670     ,1056930183
1346365   ,2676234587
52595     ,3740065387
53731     ,2502751214
53961     ,2052634704
54256     ,0067051047
57918     ,0769473223
854776    ,1323780455
855329    ,2985275361
859428    ,1111081038
1970077   ,0973261419
1970084   ,0876884891
1970091   ,2773148459
1970141   ,2622588848
1970329   ,3531322174
1970340   ,2672512443
1970347   ,0485948859
1970354   ,0868006347
1970365   ,0777940247
1970372   ,1789631979
1970582   ,4138971806
1970589   ,1763339531
892893    ,3248143315
1302240   ,4136336462
1302835   ,4134999230
1305654   ,0066510359
1305778   ,2673609739
1307109   ,2672164891
1307241   ,0484651242
1310229   ,2755424506
1310620   ,0979823611
1959048   ,0769655335
1959410   ,2421810538
1959548   ,0778557095
1959698   ,0778293623
1960013   ,0874559387
1961122   ,0779705047
1962961   ,2070739200
1963545   ,3537040750
1964216   ,2675746555
1964280   ,2618481152
1964579   ,1110881998
1964616   ,0874448523
1965102   ,2063965312
1965109   ,2062726496
1965142   ,2069746864
1966023   ,1785961099
1966304   ,0481138907
1967044   ,1766774987
1967204   ,0065549575
1967327   ,0067268551
1968003   ,2056364144
1968016   ,2627105152
1968019   ,1584180048
1968063   ,1808689210
1968231   ,0777746039
1968238   ,2054721488
1968336   ,0779850055
1968387   ,2055249968
1968617   ,2663480299
1969222   ,0873895675
1969375   ,1767398203
1969384   ,1764075707
1969402   ,2066621632
1969409   ,2062744432
1969427   ,0779367015
1969527   ,2582120967
1969688   ,0779562951
1969729   ,1787890187
1969740   ,2674831803
1969779   ,0779266375
1969854   ,0779575223
1969865   ,0777715767
1969872   ,2673322091
1969879   ,0768235575
1969890   ,0777894839
1969908   ,2061883360
1969915   ,0874464923
1969958   ,0869095131
1280941   ,4130668270
1282203   ,4130797486
70110     ,3546684469
844052    ,3532427470
846011    ,1809363226
1293596   ,2946375538
1366353   ,0762153210
1367012   ,2068021552
1368494   ,3536172782
1371085   ,0779724167
1880994   ,1074459929
1953120   ,1767105531
1953367   ,2069282176
1955086   ,0768425639
1958189   ,0779585287
1958413   ,2061230240
814484    ,1359417114
820307    ,3039093162
881300    ,3740324097
881343    ,3744337665
881871    ,2064401280
889616    ,4129785454
889666    ,3529648462
889928    ,2986072641
889936    ,1799281961
890778    ,0885245053
892459    ,2061823792
1284911   ,3541162590
1289271   ,3740481537
1360923   ,1715457911
1360959   ,4288495534
1362060   ,1790390539
1363296   ,0866735323
1363757   ,2626909728
1364112   ,1778858731
1364984   ,1580928896
1365490   ,4135225614
839027    ,1650648821
839394    ,0769762023
839557    ,2976537281
839912    ,2976411217
C8505     ,2853924612
C8559     ,2067668752
1351550   ,2048801056
1353080   ,2623918752
1353098   ,0030443527
776389    ,3248245507
852406    ,2062086592
853849    ,3783163620
856457    ,2064063984
857405    ,1349861914
1970075   ,4134529406
1970086   ,2853924628
1304835   ,3209149938
1306333   ,3528345406
1306490   ,0769337831
1307690   ,2674362315
1959074   ,1578702032
1959200   ,1790055643
1959483   ,0770209079
1959582   ,0778267879
1961526   ,1352204074
1962566   ,3529677790
1963551   ,0166206784
1965141   ,1769898491
1966838   ,2676390603
1966847   ,0066305495
1967027   ,0041734343
1967267   ,0066640743
1967398   ,0065281143
1968198   ,2063891376
1302265   ,2061362512
1302923   ,4139340846
1966243   ,0066998855
1967130   ,0779467639
1967154   ,1787590667
1967161   ,2063036064
1969368   ,2627104128
1969545   ,0065957703
1969558   ,0066564871
1969717   ,0779697511
1969747   ,0779022231
1969804   ,0778635143
1969822   ,0778290039
1969829   ,0778275703
1969840   ,0778371911
1969847   ,0779468615
843242    ,0777406629
843578    ,0488800478
843586    ,3782763524
843623    ,1767061147
1293535   ,2619794781
1367736   ,3731025118
1367927   ,3530693710
1370192   ,0760811994
1952498   ,3531684990
