zgbh,icid
C8524     ,0000綜合樓
881214    ,0003687009
1984016   ,0003704769
803330    ,0003774161
1968406   ,0003820673
874088    ,0004604273
1344371   ,0004828417
52172     ,0004881982
52171     ,0004881984
52144     ,0004882065
52145     ,0004882098
52167     ,0004882110
52154     ,0004882135
52176     ,0004884062
52168     ,0004884073
1972449   ,0006728577
896970    ,0006898321
F3508     ,0008435463
788875    ,0027821252
862381    ,0027878244
52180     ,0027915156
41978     ,0027952804
839335    ,0028004292
844140    ,0028213284
C9720     ,0028276148
22762     ,0028454676
68603     ,0028537812
830283    ,0028622868
20666     ,0028624388
843276    ,0028660340
1983720   ,0028689348
1970619   ,0029392416
1970127   ,0029573920
1365625   ,0029599712
1970603   ,0029734471
812445    ,0030031476
51149     ,0030073252
890768    ,0030250340
850615    ,0030303460
1353098   ,0030443527
876928    ,0030492372
897361    ,0030555540
1970698   ,0030699943
1351233   ,0030862704
897909    ,0030973892
1293610   ,0031082756
60089     ,0031119540
784817    ,0031334772
09005     ,0031457172
896887    ,0031753604
B0852     ,0031782132
1971112   ,0032032564
892719    ,0032265700
892812    ,0032277972
892731    ,0032443412
1971057   ,0034116503
J0886     ,0034613281
843598    ,0034900228
C9603     ,0034999492
881619    ,0035207025
762267    ,0035515665
818381    ,0035659345
824148    ,0035837569
881556    ,0035915329
1953328   ,0035980609
881070    ,0036004561
890647    ,0036197393
24844     ,0036362689
1966196   ,0036564144
1984117   ,0039027040
1956950   ,0039046208
807913    ,0041207543
1967027   ,0041734343
1319123   ,0042037623
1952460   ,0042580231
760613    ,0058791703
C8616     ,0065054903
C9682     ,0065055431
C9323     ,0065065143
841133    ,0065067047
1983437   ,0065074679
1983094   ,0065079783
C9699     ,0065080119
1967316   ,0065088279
C9345     ,0065135991
1969113   ,0065137095
1983545   ,0065142871
1969130   ,0065145447
1959086   ,0065165479
1982912   ,0065174359
1969669   ,0065193479
1285447   ,0065195959
1352293   ,0065199095
C9445     ,0065199895
1972583   ,0065203767
1969569   ,0065204567
1969563   ,0065205543
