08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:12:0924888 126006
08:27:12:0954889 126008
08:27:12:0984891 126015
08:27:12:1004892 126027
08:27:12:1034894 126028
08:27:12:1074896 126032
08:27:12:1104898 126033
08:27:12:1134900 126040
08:27:12:1164901 126047
08:27:12:1204904 126060
08:27:12:1234905 126063
08:27:12:1264907 126078
08:27:12:1294909 126085
08:27:12:1324910 126088
08:27:12:1354912 126103
08:27:12:1374913 126104
08:27:12:1424916 126106
08:27:12:1454918 126108
08:27:12:1484920 126120
08:27:12:1514921 126148
08:27:12:1534922 126161
08:27:12:1664930 126185
08:27:12:1694932 126187
08:27:12:1724933 126195
08:27:12:1754935 126202
08:27:12:1784937 126214
08:27:12:1814938 126216
08:27:12:1844940 126220
08:27:12:1874942 126223
08:27:12:1904944 126232
08:27:12:1934945 126233
08:27:12:1964947 126234
08:27:12:2004949 126241
08:27:12:2034951 126242
08:27:12:2064953 126245
08:27:12:2094954 126250
08:27:12:2124956 126275
08:27:12:2164958 126297
08:27:12:2284965 126304
08:27:12:2324968 126318
08:27:12:2354969 126326
08:27:12:2384971 126330
08:27:12:2414973 126336
08:27:12:2444974 126352
08:27:12:2474976 126353
08:27:12:2504978 126355
08:27:12:2534980 126360
08:27:12:2564981 126363
08:27:12:2594983 126367
08:27:12:2624985 126372
08:27:12:2774993 126379
08:27:12:2804995 126383
08:27:12:2834997 126390
08:27:12:2864999 126398
08:27:12:2905001 126400
08:27:12:2935003 126408
08:27:12:2965004 126419
08:27:12:2995006 126420
08:27:12:3025008 126427
08:27:12:3055009 126429
08:27:12:3095012 126436
08:27:12:3225019 126438
08:27:12:3265021 126443
08:27:12:3295023 126453
08:27:12:3325025 126461
08:27:12:3355027 126462
08:27:12:3395029 126475
08:27:12:3425031 126482
08:27:12:3455032 126485
08:27:12:3485034 126492
08:27:12:3515036 126497
08:27:12:3695046 126502
08:27:12:3735048 126504
08:27:12:3765050 126517
08:27:12:3805052 126526
08:27:12:3835054 126541
08:27:12:3865056 126545
08:27:12:3885057 126549
08:27:12:3915059 126560
08:27:12:3935060 126562
08:27:12:3965061 126563
08:27:12:3995063 126567
08:27:12:4025065 126572
08:27:12:4055067 126582
08:27:12:4075068 126597
08:27:12:4105069 126611
08:27:12:4135071 126612
08:27:12:4165073 126618
08:27:12:4195075 126620
08:27:12:4225076 126621
08:27:12:4245077 126622
08:27:12:4275079 126626
08:27:12:4305081 126627
08:27:12:4335083 126628
08:27:12:4365084 126632
08:27:12:4395086 126633
08:27:12:4415087 126635
08:27:12:4465090 126636
08:27:12:4485091 126639
08:27:12:4515093 126642
08:27:12:4565096 126643
08:27:12:4585097 126653
08:27:12:4625099 126665
08:27:12:4655101 126679
08:27:12:4685103 126681
08:27:12:4715104 126692
08:27:12:4745106 126694
08:27:12:4775108 126699
08:27:12:4815110 126719
08:27:12:4845112 126726
08:27:12:4875113 126736
08:27:12:4905115 126739
08:27:12:4935117 126756
08:27:12:4965119 126760
08:27:12:5005121 126766
08:27:12:5035123 126779
08:27:12:5065124 126783
08:27:12:5105127 126787
08:27:12:5135128 126788
08:27:12:5255135 126791
08:27:12:5285137 126795
08:27:12:5315139 126800
08:27:12:5345140 126811
08:27:12:5375142 126818
08:27:12:5405144 126820
08:27:12:5455147 126821
08:27:12:5485148 126822
08:27:12:5515150 126841
08:27:12:5545152 126842
08:27:12:5575154 126844
08:27:12:5605155 126845
08:27:12:5645158 126894
08:27:12:5675159 126895
08:27:12:5705161 126898
08:27:12:5745163 126901
08:27:12:5875171 126909
08:27:12:5905172 126912
08:27:12:5935174 126915
08:27:12:5965176 126923
08:27:12:5995178 126928
08:27:12:6035180 126930
08:27:12:6065182 126942
08:27:12:6095183 126949
08:27:12:6125185 126954
08:27:12:6155187 126955
08:27:12:6195189 126956
08:27:12:6225191 126959
08:27:12:6355198 126960
08:27:12:6385200 126968
08:27:12:6425202 127005
08:27:12:6455204 127016
08:27:12:6485206 127020
08:27:12:6515207 127023
08:27:12:6545209 127024
08:27:12:6575211 127026
08:27:12:6605212 127030
08:27:12:6645215 127033
08:27:12:6675216 127049
08:27:12:6795223 127052
08:27:12:6825225 127054
08:27:12:6865227 127055
08:27:12:6895229 127056
08:27:12:6925231 127062
08:27:12:6955232 127063
08:27:12:6985234 127064
08:27:12:7015236 127066
08:27:12:7045238 127068
